date,open,high,low,close,volume
2021-06-15 00:00:00,2580.58,2581.98,2579.33,2581.76,271.28835
2021-06-15 00:01:00,2581.76,2589.05,2581.76,2586.92,439.5769
2021-06-15 00:02:00,2587.56,2597.86,2586.61,2590.21,1917.0749
2021-06-15 00:03:00,2590.56,2592.79,2580.86,2583.12,762.51866
2021-06-15 00:04:00,2583.11,2583.11,2576.43,2577.84,1317.42039
2021-06-15 00:05:00,2577.81,2583.08,2573.87,2575.02,848.55186
2021-06-15 00:06:00,2575.03,2577.26,2571.44,2573.34,540.5526
2021-06-15 00:07:00,2573.35,2575.54,2571.77,2574.86,437.46596
2021-06-15 00:08:00,2574.86,2576.19,2571.4,2575.58,890.81477
2021-06-15 00:09:00,2575.57,2578.99,2575.56,2577.9,147.34628
2021-06-15 00:10:00,2577.9,2584.45,2576.67,2582.47,309.03594
2021-06-15 00:11:00,2582.22,2589.39,2581.22,2588.45,502.26226
2021-06-15 00:12:00,2588.45,2591.24,2586.26,2588.49,437.06856
2021-06-15 00:13:00,2588.49,2589.0,2585.56,2588.52,272.77807
2021-06-15 00:14:00,2588.51,2593.87,2588.44,2592.66,525.4004
2021-06-15 00:15:00,2592.85,2600.0,2592.68,2600.0,1328.29426
2021-06-15 00:16:00,2600.0,2604.74,2598.22,2600.77,3181.66749
2021-06-15 00:17:00,2600.77,2607.99,2599.95,2605.73,1380.23773
2021-06-15 00:18:00,2605.67,2607.74,2601.83,2604.35,997.65507
2021-06-15 00:19:00,2604.17,2606.81,2602.99,2604.57,477.37112
2021-06-15 00:20:00,2604.57,2607.52,2604.56,2606.91,757.31787
2021-06-15 00:21:00,2606.75,2614.76,2606.74,2610.69,2132.13489
2021-06-15 00:22:00,2610.68,2612.99,2608.65,2611.79,1218.02247
2021-06-15 00:23:00,2611.8,2615.54,2611.79,2614.08,1149.33384
2021-06-15 00:24:00,2614.32,2620.0,2614.0,2617.28,1820.53622
2021-06-15 00:25:00,2617.16,2617.17,2611.14,2616.32,696.89893
2021-06-15 00:26:00,2616.32,2616.48,2612.06,2615.14,938.97359
2021-06-15 00:27:00,2615.14,2615.15,2609.52,2611.41,666.81907
2021-06-15 00:28:00,2611.41,2614.42,2611.41,2612.01,665.79392
2021-06-15 00:29:00,2612.42,2614.45,2612.0,2612.01,750.3533
2021-06-15 00:30:00,2612.01,2614.71,2609.0,2609.0,480.12699
2021-06-15 00:31:00,2609.0,2610.49,2607.15,2608.16,736.26836
2021-06-15 00:32:00,2608.11,2608.39,2604.09,2605.4,563.09811
2021-06-15 00:33:00,2605.4,2608.13,2602.74,2603.45,590.99316
2021-06-15 00:34:00,2603.45,2606.35,2602.76,2605.65,349.73417
2021-06-15 00:35:00,2605.4,2611.45,2605.4,2609.3,329.88213
2021-06-15 00:36:00,2609.31,2609.86,2606.0,2606.11,192.29135
2021-06-15 00:37:00,2606.15,2609.76,2606.11,2609.76,333.47956
2021-06-15 00:38:00,2609.77,2610.08,2607.22,2609.26,450.52869
2021-06-15 00:39:00,2609.26,2609.64,2607.07,2608.62,394.84441
2021-06-15 00:40:00,2608.59,2613.36,2607.06,2612.69,621.99791
2021-06-15 00:41:00,2612.83,2615.77,2612.21,2615.26,855.35834
2021-06-15 00:42:00,2615.25,2622.46,2615.25,2622.46,1707.20706
2021-06-15 00:43:00,2622.45,2624.0,2618.0,2619.72,1083.033
2021-06-15 00:44:00,2619.72,2619.72,2616.02,2618.35,985.11764
2021-06-15 00:45:00,2618.36,2618.36,2610.33,2611.61,845.6948
2021-06-15 00:46:00,2611.94,2614.15,2608.43,2609.07,674.60596
2021-06-15 00:47:00,2609.01,2611.78,2607.25,2608.38,782.96195
2021-06-15 00:48:00,2608.37,2608.37,2603.55,2603.88,429.28815
2021-06-15 00:49:00,2603.89,2605.63,2600.48,2603.5,667.37135
2021-06-15 00:50:00,2603.5,2606.7,2603.43,2606.69,555.02563
2021-06-15 00:51:00,2606.69,2608.13,2605.64,2607.35,343.7471
2021-06-15 00:52:00,2607.34,2607.34,2600.19,2601.76,424.29235
2021-06-15 00:53:00,2601.77,2604.89,2601.77,2602.88,261.65972
2021-06-15 00:54:00,2602.64,2603.24,2600.0,2600.45,467.01586
2021-06-15 00:55:00,2600.46,2600.54,2596.61,2599.18,645.25632
2021-06-15 00:56:00,2599.0,2600.0,2594.98,2596.02,655.59502
2021-06-15 00:57:00,2596.02,2599.0,2595.31,2598.99,367.87069
2021-06-15 00:58:00,2598.99,2600.74,2598.63,2599.79,255.25347
2021-06-15 00:59:00,2599.79,2599.79,2597.03,2597.63,244.92929
2021-06-15 01:00:00,2597.63,2603.01,2597.63,2602.27,383.0877
2021-06-15 01:01:00,2602.1,2602.8,2601.14,2602.0,265.92163
2021-06-15 01:02:00,2602.0,2603.52,2601.03,2602.86,210.0462
2021-06-15 01:03:00,2602.87,2602.95,2601.55,2602.08,209.52027
2021-06-15 01:04:00,2602.03,2602.16,2597.95,2597.95,285.14789
2021-06-15 01:05:00,2597.95,2598.23,2592.31,2593.17,611.86398
2021-06-15 01:06:00,2593.17,2594.12,2591.56,2593.0,461.65208
2021-06-15 01:07:00,2593.0,2594.98,2591.88,2593.85,181.0994
2021-06-15 01:08:00,2593.84,2594.85,2592.5,2594.43,205.83483
2021-06-15 01:09:00,2594.44,2596.7,2594.0,2594.08,327.34206
2021-06-15 01:10:00,2594.25,2594.78,2588.67,2590.14,976.70455
2021-06-15 01:11:00,2590.15,2590.15,2586.31,2588.6,1578.53206
2021-06-15 01:12:00,2588.6,2590.97,2588.59,2589.96,308.63536
2021-06-15 01:13:00,2589.97,2589.99,2587.28,2589.47,315.37566
2021-06-15 01:14:00,2589.24,2589.76,2588.79,2588.99,71.50158
2021-06-15 01:15:00,2589.0,2594.82,2589.0,2594.28,341.2497
2021-06-15 01:16:00,2594.28,2594.56,2590.27,2591.02,104.46084
